,Program,Research Exp,TOEFL Score,greV,greQ,greA,Topper CGPA,CGPA,UG label,ranking
6299,0,0,103,620,800,4,8.3,6.81,86,262
6300,0,0,111,152,151,4,8.5,7.14,86,340
6301,0,0,103,620,800,4,8.3,6.81,86,340
6302,0,0,108,154,162,4.5,8.7,7.2,86,340
6303,0,0,106,148,158,3.5,8.1,7.2,86,340
6304,0,0,105,490,720,3.5,9,7.9,86,340
6305,0,0,108,156,165,3.5,9.65,9.26,86,340
6306,0,0,0,156,161,4,8.5,7.1,86,340
6307,0,0,103,146,158,3,9.4,8.81,86,340
6308,0,0,101,152,165,3,9.57,9.5,86,359
6309,0,0,110,153,167,4,8.5,7.7,86,359
6310,0,0,109,160,160,4,8.5,7.74,86,359
6311,0,0,111,580,780,3.5,8.6,7.5,86,359
6312,0,0,101,530,800,3,8.5,7.7,86,359
6313,0,0,116,570,750,4.5,9,7.5,86,359
6314,0,0,86,520,740,4.86047423179289,8.3,7.945,86,359
6315,0,0,108,156,165,3.5,9.65,9.26,86,359
6316,0,0,109,151,165,4,9.68,9.21,86,359
6317,0,0,106,600,740,4,9.5,8.9,86,359
6318,0,0,103,146,158,3,9.4,8.81,86,359
6319,0,0,112,590,780,3.5,8.3,7.62,86,359
6320,0,0,103,480,740,3.5,8.4,8,86,359
6321,0,0,105,153,170,4,8.5,7.66,86,359
6322,0,0,111,152,151,4,8.5,7.14,86,581
6323,0,0,98,150,159,4,9.4,8.28,86,581
6324,0,0,104,145,156,3,9.8,9.3,86,581
6325,0,0,93,147,164,3,9.6,9.42,86,189
6326,0,0,109,640,750,3.5,9.2,8.7,86,189
6327,0,0,97,146,160,3,9.3,8.77,86,189
6328,0,0,99,150,160,3,8.4,7.61,86,189
6329,0,0,0,156,161,4,8.5,7.1,86,189
6330,0,0,113,151,162,4.5,9,8.33,86,189
6331,0,0,103,480,740,3.5,8.4,8,86,189
6332,0,0,105,153,170,4,8.5,7.66,86,189
6333,0,0,114,159,170,4,9.79,9.25,86,189
6334,0,0,0,159,167,3.5,9,8.67,86,189
6335,0,0,105,490,720,3.5,9,7.9,86,189
6336,0,0,100,146,161,3,8.4,7.414,86,262
6337,0,0,113,160,162,4,8.8,7.8,86,262
6338,0,0,108,154,162,4.5,8.7,7.2,86,262
6339,1,0,0,600,800,4.5,8,7.4,86,262
6340,0,0,116,154,163,3.5,9.2,7.8,86,262
6341,0,0,103,480,740,3.5,8.4,8,86,262
6342,0,0,109,151,165,4,9.68,9.21,86,104
6343,0,0,109,151,165,4,9.68,9.21,86,104
6344,0,0,98,430,780,3,8.5,7.22,86,219
6345,0,0,115,157,162,4,9,9.3,86,219
6346,0,0,109,660,790,4.5,8.1,8.1,86,219
6347,0,0,113,690,800,4,8.4,7.4,86,219
6348,0,0,111,620,770,3.5,9,7.4,86,219
6349,0,0,99,680,770,3,8.9,8.5,86,219
6350,0,0,103,146,158,3,9.4,8.81,86,219
6351,0,0,112,590,780,3.5,8.3,7.62,86,219
6352,0,0,93,147,164,3,9.6,9.42,86,219
6353,0,0,103,620,800,4,8.3,6.81,86,219
6354,0,0,113,160,162,4,8.8,7.8,86,219
6355,0,0,0,159,167,3.5,9,8.67,86,219
6356,0,0,116,161,168,4.5,9,7.391,86,219
6357,0,0,105,153,170,4,8.5,7.66,86,35
6358,0,0,112,161,169,4.5,9.5,9.14,86,45
6359,0,0,109,151,165,4,9.68,9.21,86,45
6360,0,0,108,156,165,3.5,9.65,9.26,86,45
6361,0,0,106,600,740,4,9.5,8.9,86,45
6363,0,0,93,147,164,3,9.6,9.42,86,45
6364,0,0,114,156,165,3,9.8,9.5,86,45
6365,0,0,106,145,170,3,9.83,9.83,86,45
6366,0,0,114,159,170,4,9.79,9.25,86,45
6367,0,0,112,560,780,4,9.41,9.1,86,135
6368,0,0,116,161,168,4.5,9,7.391,86,135
6369,0,0,103,146,158,3,9.4,8.81,86,367
6370,0,0,111,152,151,4,8.5,7.14,86,561
6371,0,0,102,155,157,3.5,9.8,8.33,86,561
6372,0,0,117,158,170,4.5,9.6,9.27,86,561
6373,0,0,98,430,780,3,8.5,7.22,86,206
6374,0,0,99,680,770,3,8.9,8.5,86,206
6375,0,0,102,154,167,4,9.6,9.2,86,206
6376,0,0,113,160,162,4,8.8,7.8,86,206
6377,0,0,113,600,730,4,9.41,9.4,86,206
6378,0,0,114,154,160,4,9.6,8.1,86,206
6379,0,0,103,620,800,4,8.3,6.81,86,206
6380,0,0,104,154,164,4,9,7.5,86,206
6381,1,0,0,600,800,4.5,8,7.4,86,206
6382,0,0,111,620,770,3.5,9,7.4,86,206
6383,0,0,111,580,780,3.5,8.6,7.5,86,167
6384,0,0,98,430,780,3,8.5,7.22,86,167
6385,0,0,101,530,800,3,8.5,7.7,86,167
6386,0,0,113,151,162,4.5,9,8.33,86,167
6387,0,0,103,620,800,4,8.3,6.81,86,167
6388,0,0,106,145,170,3,9.83,9.83,86,167
6389,0,0,103,480,740,3.5,8.4,8,86,167
6390,0,0,109,630,770,3.5,8.48,8.48,86,167
6391,0,0,0,159,167,3.5,9,8.67,86,167
6392,0,0,109,151,165,4,9.68,9.21,86,167
6393,0,0,103,146,158,3,9.4,8.81,86,167
6394,0,0,100,146,161,3,8.4,7.414,86,167
6395,0,0,102,155,157,3.5,9.8,8.33,86,231
6396,0,0,110,153,167,4,8.5,7.7,86,231
6397,0,0,111,152,151,4,8.5,7.14,86,231
6398,0,0,112,590,780,3.5,8.3,7.62,86,231
6399,0,0,108,154,162,4.5,8.7,7.2,86,231
6400,0,0,97,146,160,3,9.3,8.77,86,231
6401,0,0,112,161,169,4.5,9.5,9.14,86,75
6402,0,0,110,153,167,4,8.5,7.7,86,75
6403,0,0,111,580,780,3.5,8.6,7.5,86,75
6404,0,0,104,145,156,3,9.8,9.3,86,75
6406,0,0,113,690,800,4,8.4,7.4,86,75
6407,0,0,112,560,780,4,9.41,9.1,86,136
6408,0,0,109,160,160,4,8.5,7.74,86,136
6409,0,0,111,580,780,3.5,8.6,7.5,86,136
6411,0,0,99,680,770,3,8.9,8.5,86,136
6412,0,0,113,600,730,4,9.41,9.4,86,136
6413,0,0,113,690,800,4,8.4,7.4,86,136
6414,0,0,101,152,165,3,9.57,9.5,86,305
6415,0,0,98,430,780,3,8.5,7.22,86,305
6416,0,0,110,153,167,4,8.5,7.7,86,305
6417,0,0,108,149,163,3,9.5,8.9,86,305
6418,0,0,99,560,780,3,9,7.5,86,305
6419,0,0,109,630,770,3.5,8.48,8.48,86,305
6420,0,0,116,161,168,4.5,9,7.391,86,305
6421,0,0,112,161,169,4.5,9.5,9.14,86,21
6422,0,0,117,158,170,4.5,9.6,9.27,86,21
6423,0,0,114,160,166,4,9.78,9.24,86,21
6425,0,0,116,161,168,4.5,9,7.391,86,21
6426,0,0,112,560,780,4,9.41,9.1,86,156
6427,0,0,111,580,780,3.5,8.6,7.5,86,156
6428,0,0,109,164,169,4,9.6,9.23,86,156
6429,0,0,114,156,165,3,9.8,9.5,86,156
6430,0,0,99,560,780,3,9,7.5,86,156
6431,0,0,113,600,730,4,9.41,9.4,86,156
6432,0,0,109,630,770,3.5,8.48,8.48,86,156
6433,0,0,0,159,167,3.5,9,8.67,86,156
6434,0,0,112,157,161,4,9.5,8.41,86,156
6435,0,0,109,151,165,4,9.68,9.21,86,156
6436,0,0,103,620,800,4,8.3,6.81,86,156
6437,0,0,116,161,168,4.5,9,7.391,86,156
6438,0,0,98,150,159,4,9.4,8.28,86,90
6439,0,0,103,620,800,4,8.3,6.81,86,90
6440,0,0,111,620,770,3.5,9,7.4,86,90
6441,0,0,112,560,780,4,9.41,9.1,86,15
6442,0,0,104,153,164,4,9.67,9.62,86,15
6443,0,0,109,151,165,4,9.68,9.21,86,15
6444,0,0,113,160,162,4,8.8,7.8,86,15
6445,0,0,104,154,164,4,9,7.5,86,15
6446,0,0,113,600,730,4,9.41,9.4,86,15
6447,0,0,115,157,162,4,9,9.3,86,15
6448,0,0,99,680,770,3,8.9,8.5,86,15
6450,0,0,105,153,170,4,8.5,7.66,86,15
6451,0,0,101,152,165,3,9.57,9.5,86,129
6452,0,0,97,153,163,3.5,8,7.7,86,129
6453,0,0,109,160,160,4,8.5,7.74,86,129
6454,0,0,111,600,750,3.5,8.1,7.5,86,129
6455,0,0,111,580,780,3.5,8.6,7.5,86,129
6456,0,0,114,154,160,4,9.6,8.1,86,129
6457,0,0,115,157,162,4,9,9.3,86,129
6458,0,0,104,153,164,4,9.67,9.62,86,129
6459,0,0,106,600,740,4,9.5,8.9,86,129
6460,0,0,103,146,158,3,9.4,8.81,86,129
6461,0,0,112,590,780,3.5,8.3,7.62,86,129
6462,0,0,93,147,164,3,9.6,9.42,86,129
6463,0,0,102,154,167,4,9.6,9.2,86,129
6464,0,0,108,149,163,3,9.5,8.9,86,129
6465,0,0,114,156,165,3,9.8,9.5,86,129
6466,0,0,106,145,170,3,9.83,9.83,86,129
6467,0,0,99,560,780,3,9,7.5,86,129
6468,0,0,103,480,740,3.5,8.4,8,86,129
6469,0,0,113,600,730,4,9.41,9.4,86,129
6470,0,0,97,146,160,3,9.3,8.77,86,129
6471,0,0,105,161,161,4.5,10,9,86,129
6472,0,0,103,620,800,4,8.3,6.81,86,129
6473,0,0,98,150,159,4,9.4,8.28,86,301
6474,0,0,97,146,160,3,9.3,8.77,86,301
6475,0,0,104,145,156,3,9.8,9.3,86,301
6476,0,0,112,161,169,4.5,9.5,9.14,86,65
6477,0,0,98,430,780,3,8.5,7.22,86,65
6478,0,0,117,158,170,4.5,9.6,9.27,86,65
6479,0,0,115,157,162,4,9,9.3,86,65
6480,0,0,86,520,740,4.86047423179289,8.3,7.945,86,65
6482,0,0,114,156,165,3,9.8,9.5,86,65
6483,0,0,114,159,170,4,9.79,9.25,86,65
6484,0,0,113,690,800,4,8.4,7.4,86,65
6485,0,0,0,159,167,3.5,9,8.67,86,65
6486,0,0,116,161,168,4.5,9,7.391,86,65
6487,0,0,111,152,151,4,8.5,7.14,86,501
6488,0,0,98,150,159,4,9.4,8.28,86,501
6489,0,0,111,580,780,3.5,8.6,7.5,86,501
6490,0,0,101,530,800,3,8.5,7.7,86,501
6491,0,0,103,146,158,3,9.4,8.81,86,501
6492,0,0,93,147,164,3,9.6,9.42,86,501
6493,0,0,113,160,162,4,8.8,7.8,86,501
6494,0,0,108,154,162,4.5,8.7,7.2,86,501
6495,0,0,103,152,165,3,9.54,9.14,86,501
6496,0,0,99,560,780,3,9,7.5,86,501
6497,0,0,103,480,740,3.5,8.4,8,86,501
6498,0,0,113,600,730,4,9.41,9.4,86,501
6499,0,0,108,156,165,3.5,9.65,9.26,86,501
6500,0,0,100,146,161,3,8.4,7.414,86,501
6501,0,0,0,340,760,3.5,8.025,6.15,86,501
6502,0,0,103,620,800,4,8.3,6.81,86,501
6503,0,0,100,146,161,3,8.4,7.414,86,353
6504,0,0,103,620,800,4,8.3,6.81,86,353
6505,0,0,102,155,157,3.5,9.8,8.33,86,68
6506,0,0,99,150,160,3,8.4,7.61,86,68
6508,0,0,117,158,170,4.5,9.6,9.27,86,68
6509,0,0,114,160,166,4,9.78,9.24,86,68
6510,0,0,106,158,158,3.5,9.24,9.21,86,56
6511,0,0,99,680,770,3,8.9,8.5,86,56
6512,0,0,114,159,170,4,9.79,9.25,86,56
6513,0,0,117,158,170,4.5,9.6,9.27,86,327
6514,0,0,99,680,770,3,8.9,8.5,86,327
6515,0,0,103,620,800,4,8.3,6.81,86,327
6516,0,0,109,630,770,3.5,8.48,8.48,86,327
6517,0,0,114,159,170,4,9.79,9.25,86,327
6518,0,0,103,153,158,3,9.5,7.76,86,327
6519,0,0,0,159,167,3.5,9,8.67,86,327
6520,0,0,103,153,158,3,9.5,7.76,86,601
6521,0,0,97,151,161,3.5,8.4,7,87,801
6522,0,0,0,530,780,4,8.5,6.808,87,285
6523,0,0,97,151,161,3.5,8.4,7,87,344
6524,0,0,99,140,163,3,9,8.2,87,262
6525,0,0,92,540,700,3.5,9,7.12,87,340
6526,0,0,97,151,161,3.5,8.4,7,87,340
6527,0,0,0,146,146,2,9,6,87,359
6528,0,0,99,140,163,3,9,8.2,87,359
6529,0,0,105,145,154,3.5,8,7.3,87,581
6530,0,0,0,530,780,4,8.5,6.808,87,135
6531,0,0,97,151,161,3.5,8.4,7,87,206
6532,0,0,99,140,163,3,9,8.2,87,167
6533,0,0,105,145,154,3.5,8,7.3,87,231
6534,0,0,104,145,157,3,7.76,6.23,87,231
6535,0,0,0,530,780,4,8.5,6.808,87,156
6536,0,0,0,530,780,4,8.5,6.808,87,129
6537,0,0,92,140,163,3,8.2,6.667,87,301
6538,0,0,104,145,157,3,7.76,6.23,87,501
6539,0,0,97,151,161,3.5,8.4,7,87,501
6540,0,0,99,140,163,3,9,8.2,87,501
6541,0,0,92,140,163,3,8.2,6.667,87,501
6542,0,0,0,530,780,4,8.5,6.808,87,56
6543,0,0,105,146,160,3.5,8.5,7,87,484
6544,0,0,104,145,157,3,7.76,6.23,87,601
6545,0,0,110,159,167,5.5,8.7,8.61,88,215
6546,0,0,106,145,169,4,9,7.732,88,215
6547,0,0,112,156,162,4,8.6,7.15,88,215
6548,0,0,104,153,163,3,8.6,8,88,215
6549,0,0,0,640,720,4,9,7.3,88,701
6550,0,0,106,420,800,3,8.6,7.2,88,701
6551,0,0,105,153,159,3,8.1,7.4,88,801
